Informazioni cronologiche,Genere ,Età,Grado di istruzione ,Quanto tempo trascorri in media giocando ai videogiochi ogni giorno?,Quale stile di videogioco preferisci di più?,"Se hai premuto ""Altro"" rispondi qui ",Credi che i videogiochi siano una forma d'arte?,"Se hai premuto ""Dipende"" puoi specificare qui",C’è un videogioco che ti ha insegnato qualcosa di utile per la tua formazione scolastica e professionale?”  ,Se hai premuto “Sì” scrivi quale videogioco ti è stato più utile ,"
Qual è il dispositivo che preferisci utilizzare per giocare?","Se hai premuto ""Altro"" rispondi qui ","
Quali videogiochi ritieni ti abbiano arricchito culturalmente riguardo alla mitologia o alla storia?","Se hai premuto ""Altro"" rispondi qui ",Pensi che sia possibile utilizzare i videogiochi che non sono stati concepiti per scopi didattici come strumenti formativi?,"Se hai premuto ""Dipende"" puoi specificare qui","
Credi che i videogiochi online possano facilitare la connessione tra le persone e offrire un'alternativa alla socialità tradizionale?","Sei hai premuto ""Dipende"" puoi specificare qui ",Hai mai pensato di creare un gioco?,"Pensi che un videogioco ti abbia ispirato ad approfondire conoscenze su un argomento ( per esempio letterario, culturale, storico, sociale, scientifico, artistico, o ecc.) ?","Hai mai imparato un'altra lingua o migliorato le tue competenze linguistiche grazie ai videogiochi, sia online che in modalità single player?",Sei hai premuto Altro specifica qui,"Secondo te, è possibile paragonare l'importanza narrativa di un videogioco a quella di media più tradizionali come libri, film o prodotti di animazione?  ",Credi che i videogiochi ti abbiano insegnato a risolvere problemi in modo creativo e originale (problem solving)?,Pratichi attività fisica ?,"Pensi che gli Esport (Sport elettronici) possano essere considerati una pratica professionale (ad esempio, league of legends, counter-strike, street fighter,  StarCraft,  Assetto corsa) ?","Hai migliorato le tue abilità sociali grazie ai videogiochi? (ad esempio comunicazione, espressione, empatia ecc.)",Frequenti amici che non usano videogiochi o preferisci la compagnia di chi condivide come te questa passione?
20/04/2024 18.58.12,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,Non gioco regolarmente,Entrambi,,Si,,Non saprei,,"Console, Console portatili, PC",,"God of War (saga Greca), Altro (specifica)","Call of Duty WWII, Battlefield 1",Dipende (Specifica),"Dipende molto da gioco a gioco, poiché non essendo la didattica il fine ultimo dei giochi in questione bisogna valutare caso per caso quanto il gioco si presti a tale uso; in tal senso bisogna valutare il contenuto, il livello di approfondimento e precisione, l'affidabilità delle informazioni. Bisogna anche tenere in considerazione il gameplay ed il genere del gioco, poiché potrebbe distrarre l'utilizzatore dal fine didattico o distorcere informazioni/fatti al fine della godibilità del gioco in sé.",Dipende (specifica),"Possono sì facilitare la connessione tra le persone, ma sicuramente non costituiscono in toto un'alternativa alla socialità tradizionale, soprattutto perché si tratta di due modi di far socialità molto differenti",Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
20/04/2024 19.04.33,Uomo,Generazione Z (1997-2012),licenza media,Meno di un’ora,Entrambi,,Si,,Non saprei,,"Console, PC",,Assassin's creed (saga),,Si,,Dipende (specifica),"Sicuramente può unire le persone come la musica, d'altronde i tipi di giochi a cui giochi possono rispecchiare moltissimo la tua personalita  ",Si,No,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
20/04/2024 19.06.35,Donna,Generazione Z (1997-2012),Diploma o licenza superiore,Meno di un’ora,Single player,,Dipende (specifica),,Si,,"PC, Smartphone /Tablet",,"God of War (saga Greca), God of war (saga norrena)",,Si,,Dipende (specifica),,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,No,Non ho preferenze
20/04/2024 19.10.45,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,4-6 ore,Entrambi,,Si,,Si,Tutta la serie di giochi di Persona,PC,,Assassin's creed (saga),,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,No,Si,Non ho preferenze
20/04/2024 19.12.09,Uomo,Generazione Z (1997-2012),licenza media,2-3 ore,Entrambi,,Si,,Si,Super Mario Bros ,Console,,God of War (saga Greca),,Si,,Si,,No,Si,No non ho imparato un altra lingua,,Si,No,Si ogni settimana,Si,Si,Preferisco la compagnia di chi videogioca
20/04/2024 19.20.10,Uomo,Millennials (1981-1996),Laurea o superiore,2-3 ore,Single player,,Si,,Si,GTA San Andreas/Vice City PC (facevo le mod),"Console, PC",,Assassin's creed (saga),,Dipende (Specifica),Assassin’s Creed II o Unity possono essere usati nelle materie come Storia(Rinascimento Italiano) o Arte(il Notre Dame in Unity è fatto benissimo),Dipende (specifica),"Alcune community con il tempo diventano tossiche, vedi ad esempio League of Legends",L'ho fatto,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
20/04/2024 19.20.25,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,Meno di un’ora,Single player,,Si,,No,,Console,,"Assassin's creed (saga), Hades",,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Preferisco la compagnia di chi videogioca
20/04/2024 19.21.56,Donna,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Multiplayer Online,,Si,,No,,"PC, Smartphone /Tablet",,Assassin's creed (saga),,Si,,Si,,No,No,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,No,Non ho preferenze
20/04/2024 19.22.39,Uomo,Generazione X (1965-1980),Diploma o licenza superiore,Meno di un’ora,Single player,,Si,,No,,"Console, PC, Smartphone /Tablet",,Nessuno,,No,,No,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,No,No,Non ho preferenze
20/04/2024 19.22.48,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,Meno di un’ora,Entrambi,,No,,Si,"I server minecraft americani a cui ho giocato sin da bambino, mi hanno fatto imparare l’inglese",Altro,Un po’ tutto tranne cloud e VR (non ce l’ho),Nessuno,,No,,Si,,Si,No,Ho potenziato le conoscenze di un altra lingua,,No,No,Si ogni settimana,Si,Si,Non ho preferenze
20/04/2024 19.24.50,Uomo,Generazione Z (1997-2012),formazione professionalizzante,Meno di un’ora,Entrambi,,Si,,Non saprei,,"Console, Console portatili, PC, Smartphone /Tablet",,"Assassin's creed (saga), God of War (saga Greca)",,Si,,Mi astengo dal giudizio,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,No,Si,Non ho preferenze
20/04/2024 19.25.48,Donna,Millennials (1981-1996),Laurea o superiore,2-3 ore,Single player,,Si,,Non saprei,,PC,,"Assassin's creed (saga), Altro (specifica)","Tutti i fantasy rpg (da, baldur, ben, the Witcher,...)",Si,,Si,,No,Si,Si ho imparato un'altra lingua,,Si,Si,Si tutti i giorni,Si,No,Non ho preferenze
20/04/2024 19.26.19,Uomo,Millennials (1981-1996),Diploma o licenza superiore,4-6 ore,Single player,,Si,,Si,Pokémon ,Console,,God of war (saga norrena),,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
20/04/2024 19.29.39,Uomo,Generazione Z (1997-2012),Laurea o superiore,2-3 ore,Entrambi,,No,,No,,Console,,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena)",,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,No,Si ogni settimana,No,No,Non ho preferenze
20/04/2024 19.32.13,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,Meno di un’ora,Single player,,Si,,Si,Tutti i videogiochi con una storia hanno qualcosa da insegnare. Il videogioco é un medium al pari del cinema o dei libri,"Console, PC",,Assassin's creed (saga),,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
20/04/2024 19.32.21,Uomo,Millennials (1981-1996),Laurea o superiore,2-3 ore,Multiplayer Online,,No,,No,,PC,,God of War (saga Greca),,No,,Si,,No,No,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si tutti i giorni,Si,No,Preferisco la compagnia di chi videogioca
20/04/2024 19.32.36,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,Meno di un’ora,Multiplayer Online,,Si,,No,,"Console, Console portatili, Smartphone /Tablet",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena)",,No,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si tutti i giorni,Si,Si,Non ho preferenze
20/04/2024 19.32.39,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,4-6 ore,Single player,,Dipende (specifica),,Non saprei,,"PC, Smartphone /Tablet",,Altro (specifica),hoi4,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,No,Si,Non ho preferenze
20/04/2024 19.34.03,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,4-6 ore,Entrambi,,Si,,Si,Factorio,"Console, PC",,"Assassin's creed (saga), Sid Meier's Civilization",,No,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,No,Preferisco la compagnia di chi videogioca
20/04/2024 19.40.00,Uomo,Millennials (1981-1996),Diploma o licenza superiore,Meno di un’ora,Single player,,Dipende (specifica),Diversi giochi al giorno d’oggi non sono educativi ,No,,"Console, PC",,Age of Empire,,No,,Dipende (specifica),"Se viene fatto un abuso del multiplayer online, i ragazzi hanno la tendenza a non socializzare ",No,No,Ho potenziato le conoscenze di un altra lingua,,No,Si,Si tutti i giorni,No,No,Non ho preferenze
20/04/2024 19.44.00,Uomo,Generazione Z (1997-2012),Laurea o superiore,2-3 ore,Single player,,Si,,Si,,Console,,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Ryse son of rome",,Si,,Mi astengo dal giudizio,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,No,Non ho preferenze
20/04/2024 19.45.19,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Single player,,Dipende (specifica),"Elden ring si fifa no, domanda troppo generica.",Non saprei,,"Console, PC, Smartphone /Tablet",,"God of War (saga Greca), Immortals fenyx rising, Altro (specifica)",Uncharted (saga),Si,,No,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si tutti i giorni,Si,Si,Preferisco la compagnia di chi videogioca
20/04/2024 19.47.29,Uomo,Generazione X (1965-1980),Laurea o superiore,Non gioco regolarmente,Single player,,Si,,Non saprei,,"Console, Smartphone /Tablet",,"Assassin's creed (saga), Age of Empire",,Si,,Si,,Si,No,Ho potenziato le conoscenze di un altra lingua,,Si,No,Meno di una volta a settimana,Si,No,Non ho preferenze
20/04/2024 19.50.32,Uomo,Generazione X (1965-1980),Laurea o superiore,Mai,Single player,,Dipende (specifica),,No,,Non gioco ai Videogiochi,,Nessuno,,Si,,Si,,Si,No,No non gioco ai videogiochi,,Si,Si,Si ogni settimana,Si,No,Non gioco ai videogiochi
20/04/2024 19.51.15,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,7>,Entrambi,,No,,No,,PC,,Nessuno,,No,,No,,No,No,Si ho imparato un'altra lingua,,Si,No,Meno di una volta a settimana,No,No,Non ho preferenze
20/04/2024 19.51.20,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,Mai,Nessuno,,No,,No,,Non gioco ai Videogiochi,,Nessuno,,No,,No,,No,No,No non gioco ai videogiochi,,No,Non gioco ai videogiochi,Si ogni settimana,No,Non gioco ai videogiochi,Non gioco ai videogiochi
20/04/2024 19.51.25,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Entrambi,,Dipende (specifica),"solamente i giochi single player che vogliono portare agli occhi del videogiocatore un'esperienza (vedi Detroit Become Human, TLOU...)",No,,PC,,God of War (saga Greca),,No,,Dipende (specifica),Chiaramente non si avrà mai lo stesso livello di confidenza con un amico IRL,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,Si,Non ho preferenze
20/04/2024 19.52.19,Uomo,Generazione Z (1997-2012),Laurea o superiore,Non gioco regolarmente,Single player,,Si,,No,,"Console, Cloud, Console portatili, Smartphone /Tablet",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena)",,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,No,Si,Non ho preferenze
20/04/2024 19.56.31,Uomo,Millennials (1981-1996),Laurea o superiore,2-3 ore,Multiplayer Online,,Si,,No,,"Console, PC",,"God of War (saga Greca), God of war (saga norrena)",,Dipende (Specifica),,No,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
20/04/2024 19.59.49,Donna,Generazione Z (1997-2012),Diploma o licenza superiore,Meno di un’ora,Single player,,Si,,Si,Spiritfarer,"PC, Smartphone /Tablet",,Nessuno,,Si,,Mi astengo dal giudizio,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
20/04/2024 20.00.07,Uomo,Millennials (1981-1996),Diploma o licenza superiore,Meno di un’ora,Single player,,Si,,Si,La saga di assassin’s creed e prima imperium ,"Console, Smartphone /Tablet",,"Assassin's creed (saga), Age of Empire",,Si,,Mi astengo dal giudizio,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si tutti i giorni,No,Si,Non ho preferenze
20/04/2024 20.00.22,Uomo,Millennials (1981-1996),Laurea o superiore,Meno di un’ora,Entrambi,,Si,,Si,"La saga di elder scrolls, durante l’adolescenza, ottima per l’apprendimento della lingua inglese",PC,,Nessuno,,Dipende (Specifica),"Il titolo deve essere abbastanza flessibile e/o open da essere piegato allo scopo, oppure dev’essere facilmente moddabile",Dipende (specifica),"Solo se in somma alla socialità tradizionale, la sola socialità digitale è patologica",L'ho fatto,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,No,Non ho preferenze
20/04/2024 20.02.09,Donna,Generazione Z (1997-2012),Laurea o superiore,2-3 ore,Entrambi,,Si,,No,,"PC, Smartphone /Tablet",,Nessuno,,Dipende (Specifica),"Dipende dalla sensibilità della persona e dagli schemi di apprendimento. Anche se il gioco non ha scopi didattici posso imparare a coordinare mano-occhio, ma questo risulta utile se riesco ad utilizzarlo al di fuori dell'esperienza videogiochi; oppure posso imparare alcune parole di una lingua ma dipende molto anche da quanto mi confronto con quella lingua al di fuori del videogioco.",Dipende (specifica),"Dipende dal tipo di gioco. È risaputo che in molti multiplayer di combattimento c'è una forte rivalità, uso di linguaggio violento e odio per i nuovi o scarsi giocatori.",Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,No,No,Non ho preferenze
20/04/2024 20.03.17,Donna,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Multiplayer Online,,Si,,Si,"World of Warcraft, e molti gestionali","Console portatili, PC",,"Assassin's creed (saga), Age of Empire, Sid Meier's Civilization",,Si,,Si,,Si,Si,Si ho imparato un'altra lingua,,Si,Si,Meno di una volta a settimana,Si,Si,Non ho preferenze
20/04/2024 20.10.01,Uomo,Millennials (1981-1996),Laurea o superiore,Meno di un’ora,Single player,,Si,,No,,Console portatili,,Altro (specifica),Imperium Civitas,Si,,Si,,Si,Si,No non ho imparato un altra lingua,,Si,Si,Si ogni settimana,Si,No,Non ho preferenze
20/04/2024 20.10.57,Uomo,Millennials (1981-1996),Laurea o superiore,2-3 ore,Single player,,Si,,Si,Final Fantasy VII,"Console, Console portatili",,Hades,,Dipende (Specifica),Dipende dal gioco e dal docente.,Mi astengo dal giudizio,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,No,No,Non ho preferenze
20/04/2024 20.12.17,Uomo,Generazione Z (1997-2012),Laurea o superiore,2-3 ore,Entrambi,,Si,,No,,"PC, VR",,Altro (specifica),Total War ,Si,,Dipende (specifica),I videogiochi online possono fare da collante tra persone con la stessa passione che poi possono socializzare in maniera più classica ,No,Si,Si ho imparato un'altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
20/04/2024 20.20.43,Uomo,Millennials (1981-1996),Diploma o licenza superiore,Non gioco regolarmente,Entrambi,,Si,,Non saprei,,"Console, VR",,"Assassin's creed (saga), Age of Empire, Sid Meier's Civilization",,Si,,No,,Si,Si,Si ho imparato un'altra lingua,,Si,Si,Si ogni settimana,No,Si,Non ho preferenze
20/04/2024 20.24.33,Uomo,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Entrambi,,Si,,Si,Ages of empire,"PC, Smartphone /Tablet",,"Hades, Age of Empire",,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,Si,Preferisco la compagnia di chi videogioca
20/04/2024 20.25.04,Donna,Generazione Z (1997-2012),Diploma o licenza superiore,Non gioco regolarmente,Entrambi,,Si,,Si,"Minecraft, Call of Duty",Console,,"God of War (saga Greca), God of war (saga norrena)",,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,No,Si,Preferisco la compagnia di chi videogioca
20/04/2024 20.26.38,Uomo,Generazione Z (1997-2012),Laurea o superiore,Non gioco regolarmente,Multiplayer Online,,Si,,Si,Geogussr,PC,,Nessuno,Ho giocato molti pochi giochi ambientati nel passato ,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,No,Non ho preferenze
20/04/2024 20.27.04,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,Meno di un’ora,Single player,,Si,,Si,Hearts of iron 4,PC,,"Assassin's creed (saga), Sid Meier's Civilization",,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,No,Preferisco la compagnia di chi videogioca
20/04/2024 20.28.37,Donna,Millennials (1981-1996),Diploma o licenza superiore,Meno di un’ora,Entrambi,,Si,,Si,Sim City 2000 e Sim City 4,Console,,Age of Empire,,Dipende (Specifica),,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,No,Non ho preferenze
20/04/2024 20.31.52,Uomo,Generazione Z (1997-2012),Laurea o superiore,4-6 ore,Entrambi,,Si,,Si,"Life is Strange 1, mi ha fatto appassionare alla Matematica grazie alla Teoria del Caos e al Butterfly Effect.",Console,,"Assassin's creed (saga), Age of Empire, Sid Meier's Civilization, Ryse son of rome",,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
20/04/2024 20.37.42,Uomo,Millennials (1981-1996),Diploma o licenza superiore,7>,Single player,,Si,,Si,Shenzen I/O,PC,,"God of War (saga Greca), God of war (saga norrena), Hades, Sid Meier's Civilization",,Si,,Si,,Si,Si,Si ho imparato un'altra lingua,,Si,Si,Mai o quasi mai,Si,Si,Non ho preferenze
20/04/2024 20.38.43,Uomo,Generazione Z (1997-2012),Laurea o superiore,2-3 ore,Entrambi,,Si,,Non saprei,,"Console, PC",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena)",,Si,,Mi astengo dal giudizio,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
20/04/2024 20.40.23,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,7>,Entrambi,,Dipende (specifica),"credo che cose tutto quello che riguarda la grafica dei videogiochi sia un arte che va oltre il disegno, ma anche la costruzione di un mondo di gioco è un arte, visto che potrebbe essere facilmente considerata architettura",No,,"PC, Smartphone /Tablet",,Hades,,No,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,No,Si,Non ho preferenze
20/04/2024 20.41.15,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,4-6 ore,Multiplayer Online,,Si,,Non saprei,,PC,,Altro (specifica),rdr2 ,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,No,Si ogni settimana,Si,No,Non ho preferenze
20/04/2024 20.42.47,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Entrambi,,Si,,Non saprei,,"PC, Smartphone /Tablet",,Nessuno,,Si,,Si,,L'ho fatto,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,No,No,Non ho preferenze
20/04/2024 20.44.17,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,Meno di un’ora,Multiplayer Online,,No,,Si,Minecraft,Smartphone /Tablet,,Nessuno,,Dipende (Specifica),,Si,,No,No,Ho potenziato le conoscenze di un altra lingua,,No,Si,Si ogni settimana,Si,No,Non ho preferenze
20/04/2024 20.47.45,Donna,Generazione Z (1997-2012),Laurea o superiore,2-3 ore,Single player,,Si,,Non saprei,,"Console, PC",,Assassin's creed (saga),,Si,,No,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,No,No,Non ho preferenze
20/04/2024 20.50.08,Uomo,Millennials (1981-1996),Laurea o superiore,2-3 ore,Single player,,Si,,No,,"PC, VR",,"Assassin's creed (saga), Age of Empire",,Si,,No,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,No,Si ogni settimana,No,No,Non ho preferenze
20/04/2024 20.51.21,Uomo,Millennials (1981-1996),Diploma o licenza superiore,Meno di un’ora,Single player,,Si,,Non saprei,,"Cloud, PC",,"Sid Meier's Civilization, Altro (specifica)",RDR2,Dipende (Specifica),"Se sono molto attendibili a livello storico, ricordo in proff americano che ha nominato RDR2 per spiegare storia americana",Dipende (specifica),"Si e no, dipende dal gioco, età, educazione, consapevolezza",Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,Si,Non ho preferenze
20/04/2024 20.58.13,Donna,Millennials (1981-1996),Laurea o superiore,4-6 ore,Multiplayer Online,,Si,,Si,Guild Wars 2,PC,,Age of Empire,,Si,,Si,,No,Si,Altro (Specifica),Ho sia migliorato le mie competenze in una lingua che già conoscevo e imparato le basi di nuove,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
20/04/2024 21.00.20,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,7>,Single player,,Si,,Si,"Dark Souls, mi ha insegnato la determinazione e l'accettazione del fallimento ",PC,,Nessuno,,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,Si,Preferisco la compagnia di chi videogioca
20/04/2024 21.01.26,Uomo,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Single player,,Si,,Non saprei,,PC,,Nessuno,,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,Si,Non ho preferenze
20/04/2024 21.05.25,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,Meno di un’ora,Single player,,Si,,Si,Valiant Hearts: The Great War,"PC, Smartphone /Tablet",,Sid Meier's Civilization,,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
